3092;K;04:33;06:45;;;;;;;;;;;;;;;;;;;
3104;K;05:23;08:03;;;;;;;;;;;;;;;;;;;
3079;K;05:53;08:08;;;;;;;;;;;;;;;;;;;
3153;K;06:23;08:57;;;;;;;;;;;;;;;;;;;
3027;K;09:03;10:41;;;;;;;;;;;;;;;;;;;
3068;R;04:24;13:00;;;;;;;;;;;;;;;;;;;
3022;S;05:46;14:18;;;;;;;;;;;;;;;;;;;
3117;S;11:15;12:35;;;;;;;;;;;;;;;;;;;
3150;W;06:10;12:10;;;;;;;;;;;;;;;;;;;
3049;W;08:41;14:43;;;;;;;;;;;;;;;;;;;
3035;W;05:08;08:08;;;;;;;;;;;;;;;;;;;
3151;W;11:40;15:03;;;;;;;;;;;;;;;;;;;
3117;W;05:46;06:25;;;;;;;;;;;;;;;;;;;
3117;W;07:23;11:15;;;;;;;;;;;;;;;;;;;
3027;X;06:03;09:03;;;;;;;;;;;;;;;;;;;
3040;103;05:21;07:44;;;;;;;;;;;;;;;;;;;
3048;103;05:51;08:22;;;;;;;;;;;;;;;;;;;
3092;103;06:45;08:50;;;;;;;;;;;;;;;;;;;
3075;103;06:45;08:27;;;;;;;;;;;;;;;;;;;
3141;103;14:16;14:38;;;;;;;;;;;;;;;;;;;
3052;105;08:51;11:40;;;;;;;;;;;;;;;;;;;
3009;109;04:56;07:10;;;;;;;;;;;;;;;;;;;
3123;109;07:25;08:09;;;;;;;;;;;;;;;;;;;
3434;109;05:22;07:40;;;;;;;;;;;;;;;;;;;
3043;109;07:55;08:56;;;;;;;;;;;;;;;;;;;
3014;109;05:52;08:07;;;;;;;;;;;;;;;;;;;
3009;109;08:19;09:36;;;;;;;;;;;;;;;;;;;
3008;109;07:41;11:22;;;;;;;;;;;;;;;;;;;
3043;109;08:56;15:09;;;;;;;;;;;;;;;;;;;
3009;109;09:36;12:17;;;;;;;;;;;;;;;;;;;
3052;125;04:50;08:51;;;;;;;;;;;;;;;;;;;
3171;134;05:06;08:10;;;;;;;;;;;;;;;;;;;
3030;134;05:36;08:43;;;;;;;;;;;;;;;;;;;
3108;134;05:48;07:08;;;;;;;;;;;;;;;;;;;
3141;134;06:30;07:46;;;;;;;;;;;;;;;;;;;
3139;141;05:00;13:10;;;;;;;;;;;;;;;;;;;
3179;141;05:15;13:45;;;;;;;;;;;;;;;;;;;
3028;141;05:30;13:38;;;;;;;;;;;;;;;;;;;
3106;141;05:45;14:22;;;;;;;;;;;;;;;;;;;
3099;141;06:15;14:53;;;;;;;;;;;;;;;;;;;
3094;141;06:37;14:50;;;;;;;;;;;;;;;;;;;
3474;141;06:51;08:51;;;;;;;;;;;;;;;;;;;
3457;141;06:58;09:02;;;;;;;;;;;;;;;;;;;
3113;141;06:00;10:11;;;;;;;;;;;;;;;;;;;
3036;141;04:42;08:26;;;;;;;;;;;;;;;;;;;
3108;141;07:08;09:37;;;;;;;;;;;;;;;;;;;
3062;141;06:30;08:24;;;;;;;;;;;;;;;;;;;
3170;152;04:54;08:59;;;;;;;;;;;;;;;;;;;
